date,count,drug
2022-08-03,63,metformin
2022-08-04,75,metformin
2022-08-05,74,metformin
2022-08-06,13,metformin
2022-08-07,5,metformin
2022-08-08,53,metformin
2022-08-09,55,metformin
2022-08-10,72,metformin
2022-08-11,59,metformin
2022-08-12,60,metformin
2022-08-13,12,metformin
2022-08-14,4,metformin
2022-08-15,27,metformin
2022-08-16,61,metformin
2022-08-17,64,metformin
2022-08-18,59,metformin
2022-08-19,68,metformin
2022-08-20,14,metformin
2022-08-21,5,metformin
2022-08-22,58,metformin
2022-08-23,64,metformin
2022-08-24,69,metformin
2022-08-25,66,metformin
2022-08-26,58,metformin
2022-08-27,15,metformin
2022-08-28,10,metformin
2022-08-29,44,metformin
2022-08-30,60,metformin
2022-08-31,43,metformin
2022-09-01,60,metformin
2022-09-02,74,metformin
2022-09-03,9,metformin
2022-09-04,2,metformin
2022-09-05,53,metformin
2022-09-06,69,metformin
2022-09-07,63,metformin
2022-09-08,49,metformin
2022-09-09,81,metformin
2022-09-10,9,metformin
2022-09-11,9,metformin
2022-09-12,79,metformin
2022-09-13,75,metformin
2022-09-14,79,metformin
2022-09-15,72,metformin
2022-09-16,73,metformin
2022-09-17,16,metformin
2022-09-18,4,metformin
2022-09-19,70,metformin
2022-09-20,78,metformin
2022-09-21,92,metformin
2022-09-22,82,metformin
2022-09-23,92,metformin
2022-09-24,22,metformin
2022-09-25,5,metformin
2022-09-26,112,metformin
2022-09-27,102,metformin
2022-09-28,105,metformin
2022-09-29,98,metformin
2022-09-30,111,metformin
2022-10-01,24,metformin
2022-10-02,13,metformin
2022-10-03,67,metformin
2022-10-04,72,metformin
2022-10-05,51,metformin
2022-10-06,99,metformin
2022-10-07,69,metformin
2022-10-08,24,metformin
2022-10-09,14,metformin
2022-10-10,70,metformin
2022-10-11,61,metformin
2022-10-12,103,metformin
2022-10-13,89,metformin
2022-10-14,73,metformin
2022-10-15,18,metformin
2022-10-16,3,metformin
2022-10-17,69,metformin
2022-10-18,81,metformin
2022-10-19,66,metformin
2022-10-20,90,metformin
2022-10-21,73,metformin
2022-10-22,16,metformin
2022-10-23,3,metformin
2022-10-24,34,metformin
2022-10-25,83,metformin
2022-10-26,83,metformin
2022-10-27,83,metformin
2022-10-28,81,metformin
2022-10-29,20,metformin
2022-10-30,2,metformin
2022-10-31,55,metformin
2022-11-01,81,metformin
2022-11-02,66,metformin
2022-11-03,74,metformin
2022-11-04,81,metformin
2022-11-05,6,metformin
2022-11-06,1,metformin
2022-11-07,74,metformin
2022-11-08,62,metformin
2022-11-09,70,metformin
2022-11-10,62,metformin
2022-11-11,75,metformin
2022-11-12,12,metformin
2022-11-13,4,metformin
2022-11-14,74,metformin
2022-11-15,82,metformin
2022-11-16,53,metformin
2022-11-17,84,metformin
2022-11-18,83,metformin
2022-11-19,16,metformin
2022-11-20,6,metformin
2022-11-21,61,metformin
2022-11-22,65,metformin
2022-11-23,111,metformin
2022-11-24,69,metformin
2022-11-25,58,metformin
2022-11-26,12,metformin
2022-11-27,12,metformin
2022-11-28,67,metformin
2022-11-29,69,metformin
2022-11-30,70,metformin
2022-12-01,83,metformin
2022-12-02,65,metformin
2022-12-03,21,metformin
2022-12-04,7,metformin
2022-12-05,72,metformin
2022-12-06,66,metformin
2022-12-07,76,metformin
2022-12-08,55,metformin
2022-12-09,81,metformin
2022-12-10,31,metformin
2022-12-11,4,metformin
2022-12-12,81,metformin
2022-12-13,67,metformin
2022-12-14,46,metformin
2022-12-15,86,metformin
2022-12-16,72,metformin
2022-12-17,22,metformin
2022-12-18,13,metformin
2022-12-19,72,metformin
2022-12-20,66,metformin
2022-12-21,77,metformin
2022-12-22,81,metformin
2022-12-23,61,metformin
2022-12-24,10,metformin
2022-12-25,3,metformin
2022-12-26,47,metformin
2022-12-27,75,metformin
2022-12-28,73,metformin
2022-12-29,74,metformin
2022-12-30,52,metformin
2022-12-31,10,metformin
2023-01-01,3,metformin
2023-01-02,53,metformin
2023-01-03,63,metformin
2023-01-04,67,metformin
2023-01-05,69,metformin
2023-01-06,67,metformin
2023-01-07,16,metformin
2023-01-08,10,metformin
2023-01-09,52,metformin
2023-01-10,64,metformin
2023-01-11,55,metformin
2023-01-12,51,metformin
2023-01-13,68,metformin
2023-01-14,12,metformin
2023-01-15,9,metformin
2023-01-16,54,metformin
2023-01-17,89,metformin
2023-01-18,86,metformin
2023-01-19,80,metformin
2023-01-20,92,metformin
2023-01-21,17,metformin
2023-01-22,15,metformin
2023-01-23,76,metformin
2023-01-24,95,metformin
2023-01-25,80,metformin
2023-01-26,56,metformin
2023-01-27,97,metformin
2023-01-28,26,metformin
2023-01-29,10,metformin
2023-01-30,97,metformin
2023-01-31,56,metformin
2023-02-01,101,metformin
2023-02-02,64,metformin
2023-02-03,78,metformin
2023-02-04,21,metformin
2023-02-05,18,metformin
2023-02-06,99,metformin
2023-02-07,105,metformin
2023-02-08,82,metformin
2023-02-09,95,metformin
2023-02-10,137,metformin
2023-02-11,11,metformin
2023-02-12,4,metformin
2023-02-13,83,metformin
2023-02-14,64,metformin
2023-02-15,76,metformin
2023-02-16,70,metformin
2023-02-17,85,metformin
2023-02-18,15,metformin
2023-02-19,14,metformin
2023-02-20,55,metformin
2023-02-21,65,metformin
2023-02-22,82,metformin
2023-02-23,62,metformin
2023-02-24,78,metformin
2023-02-25,7,metformin
2023-02-26,2,metformin
2023-02-27,84,metformin
2023-02-28,74,metformin
2023-03-01,63,metformin
2023-03-02,67,metformin
2023-03-03,66,metformin
2023-03-04,17,metformin
2023-03-05,3,metformin
2023-03-06,67,metformin
2023-03-07,69,metformin
2023-03-08,65,metformin
2023-03-09,41,metformin
2023-03-10,68,metformin
2023-03-11,3,metformin
2023-03-12,6,metformin
2023-03-13,52,metformin
2023-03-14,76,metformin
2023-03-15,62,metformin
2023-03-16,61,metformin
2023-03-17,63,metformin
2023-03-18,14,metformin
2023-03-19,5,metformin
2023-03-20,66,metformin
2023-03-21,62,metformin
2023-03-22,51,metformin
2023-03-23,58,metformin
2023-03-24,84,metformin
2023-03-25,19,metformin
2023-03-26,4,metformin
2023-03-27,70,metformin
2023-03-28,59,metformin
2023-03-29,42,metformin
2023-03-30,75,metformin
2023-03-31,85,metformin
2023-04-01,15,metformin
2023-04-02,5,metformin
2023-04-03,83,metformin
2023-04-04,73,metformin
2023-04-05,64,metformin
2023-04-06,60,metformin
2023-04-07,68,metformin
2023-04-08,18,metformin
2023-04-09,12,metformin
2023-04-10,79,metformin
2023-04-11,73,metformin
2023-04-12,59,metformin
2023-04-13,66,metformin
2023-04-14,53,metformin
2023-04-15,16,metformin
2023-04-16,6,metformin
2023-04-17,66,metformin
2023-04-18,57,metformin
2023-04-19,52,metformin
2023-04-20,50,metformin
2023-04-21,82,metformin
2023-04-22,8,metformin
2023-04-23,1,metformin
2023-04-24,76,metformin
2023-04-25,59,metformin
2023-04-26,80,metformin
2023-04-27,84,metformin
2023-04-28,90,metformin
2023-04-29,2,metformin
2023-04-30,8,metformin
2023-05-01,44,metformin
2023-05-02,90,metformin
2023-05-03,68,metformin
2023-05-04,67,metformin
2023-05-05,73,metformin
2023-05-06,11,metformin
2023-05-07,3,metformin
2023-05-08,82,metformin
2023-05-09,57,metformin
2023-05-10,94,metformin
2023-05-11,55,metformin
2023-05-12,68,metformin
2023-05-13,6,metformin
2023-05-14,5,metformin
2023-05-15,54,metformin
2023-05-16,55,metformin
2023-05-17,49,metformin
2023-05-18,71,metformin
2023-05-19,59,metformin
2023-05-20,8,metformin
2023-05-21,3,metformin
2023-05-22,58,metformin
2023-05-23,57,metformin
2023-05-24,51,metformin
2023-05-25,64,metformin
2023-05-26,71,metformin
2023-05-27,9,metformin
2023-05-28,6,metformin
2023-05-29,56,metformin
2023-05-30,73,metformin
2023-05-31,68,metformin
2023-06-01,63,metformin
2023-06-02,73,metformin
2023-06-03,11,metformin
2023-06-04,4,metformin
2023-06-05,73,metformin
2023-06-06,48,metformin
2023-06-07,86,metformin
2023-06-08,80,metformin
2023-06-09,47,metformin
2023-06-10,7,metformin
2023-06-11,5,metformin
2023-06-12,76,metformin
2023-06-13,65,metformin
2023-06-14,57,metformin
2023-06-15,51,metformin
2023-06-16,71,metformin
2023-06-17,17,metformin
2023-06-18,1,metformin
2023-06-19,58,metformin
2023-06-20,52,metformin
2023-06-21,63,metformin
2023-06-22,50,metformin
2023-06-23,89,metformin
2023-06-25,2,metformin
2023-06-26,70,metformin
2023-06-27,57,metformin
2023-06-28,55,metformin
2023-06-29,45,metformin
2023-06-30,69,metformin
2023-07-01,10,metformin
2023-07-02,5,metformin
2023-07-03,54,metformin
2023-07-04,38,metformin
2023-07-05,67,metformin
2023-07-06,52,metformin
2023-07-07,59,metformin
2023-07-08,3,metformin
2023-07-09,7,metformin
2023-07-10,49,metformin
2023-07-11,64,metformin
2023-07-12,52,metformin
2023-07-13,60,metformin
2023-07-14,69,metformin
2023-07-15,11,metformin
2023-07-16,4,metformin
2023-07-17,47,metformin
2023-07-18,71,metformin
2023-07-19,61,metformin
2023-07-20,97,metformin
2023-07-21,74,metformin
2023-07-22,12,metformin
2023-07-23,15,metformin
2023-07-24,68,metformin
2023-07-25,73,metformin
2023-07-26,68,metformin
2023-07-27,58,metformin
2023-07-28,75,metformin
2023-07-29,17,metformin
2023-07-30,5,metformin
2023-07-31,98,metformin
2023-08-01,90,metformin
2023-08-02,66,metformin
2023-08-03,80,metformin
2023-08-04,70,metformin
2023-08-05,12,metformin
2023-08-06,6,metformin
2023-08-07,63,metformin
2023-08-08,83,metformin
2023-08-09,80,metformin
2023-08-10,61,metformin
2023-08-11,69,metformin
